Index,acc
0,10.000
1,10.950
2,11.150
3,10.040
4,10.060
5,13.650
6,13.730
7,13.640
8,13.990
9,13.780
10,13.850
11,14.600
12,15.460
13,16.900
14,18.390
15,18.900
16,19.310
17,20.380
18,20.570
19,21.450
20,22.180
21,22.540
22,22.970
23,23.480
24,23.410
25,23.280
26,23.910
27,24.360
28,24.270
29,25.160
30,26.080
31,26.740
32,27.260
33,26.640
34,28.210
35,27.870
36,28.370
37,28.700
38,29.290
39,30.380
40,30.610
41,31.240
42,31.710
43,31.290
44,32.230
45,31.370
46,31.190
47,31.830
48,31.200
49,31.740
50,30.840
51,31.150
52,31.720
53,32.060
54,32.110
55,33.810
56,34.040
57,35.230
58,35.380
59,35.420
60,35.390
61,35.390
62,35.820
63,36.330
64,36.000
65,36.250
66,36.440
67,36.390
68,36.360
69,36.390
70,36.130
71,36.580
72,36.530
73,37.220
74,37.230
75,37.850
76,38.460
77,38.100
78,38.540
79,38.440
80,38.720
81,38.890
82,39.350
83,39.340
84,39.900
85,39.670
86,39.510
87,39.580
88,39.520
89,39.630
90,39.670
91,40.270
92,40.020
93,40.560
94,40.560
95,40.990
96,40.780
97,40.930
98,40.930
99,41.220
100,41.040
101,41.530
102,41.420
103,41.830
104,41.790
105,42.130
106,42.050
107,42.500
108,41.970
109,42.270
110,42.460
111,42.120
112,42.420
113,42.620
114,42.790
115,43.010
116,42.980
117,42.840
118,42.930
119,43.100
120,43.390
121,42.860
122,43.620
123,43.700
124,43.740
125,43.750
126,43.600
127,43.710
128,43.830
129,43.750
130,43.480
131,43.510
132,43.950
133,44.080
134,44.330
135,44.540
136,44.700
137,44.820
138,44.650
139,44.760
140,45.260
141,45.400
142,45.290
143,45.200
144,45.320
145,45.670
146,45.410
147,45.320
148,45.550
149,45.710
150,45.800
151,45.620
152,46.150
153,45.950
154,46.200
155,46.250
156,46.260
157,46.590
158,46.700
159,46.560
160,46.560
161,46.440
162,46.790
163,46.740
164,46.780
165,46.920
166,47.070
167,46.940
168,46.690
169,46.500
170,46.350
171,46.630
172,46.740
173,47.020
174,47.300
175,47.350
176,47.350
177,47.660
178,47.680
179,47.930
180,47.960
181,48.240
182,48.130
183,48.000
184,48.020
185,47.510
186,47.240
187,47.680
188,47.710
189,47.930
190,48.230
191,48.360
192,48.280
193,48.460
194,48.570
195,48.530
196,48.490
197,48.770
198,48.710
199,48.650
200,48.770
201,48.730
202,49.120
203,49.050
204,48.650
205,48.610
206,48.580
207,49.190
208,49.160
209,48.980
210,49.210
211,48.940
212,49.580
213,49.540
214,49.780
215,49.710
216,49.410
217,49.390
218,49.600
219,49.500
220,49.570
221,49.690
222,49.910
223,49.830
224,49.830
225,49.820
226,50.000
227,50.230
228,50.370
229,50.470
230,50.140
231,50.090
232,50.080
233,50.080
234,49.970
235,50.070
236,50.200
237,50.080
238,50.120
239,50.070
240,50.370
241,50.370
242,50.320
243,50.470
244,50.520
245,50.460
246,50.230
247,50.020
248,49.810
249,50.120
250,50.690
251,50.650
252,50.870
253,50.950
254,50.680
255,50.300
256,50.380
257,50.940
258,51.140
259,51.280
260,50.850
261,50.770
262,50.500
263,50.430
264,50.730
265,50.730
266,50.770
267,50.820
268,50.620
269,50.590
270,50.430
271,50.810
272,50.590
273,50.650
274,50.900
275,51.240
276,51.290
277,51.180
278,51.270
279,51.300
280,50.970
281,50.610
282,51.020
283,51.000
284,51.010
285,51.070
286,50.580
287,50.680
288,51.040
289,50.720
290,50.880
291,50.830
292,50.820
293,50.930
294,51.330
295,50.980
296,51.220
297,50.750
298,50.550
299,50.220
