Index,loss
0,1200.839
1,1120.307
2,12.631
3,12.470
4,2.264
5,2.255
6,2.249
7,2.242
8,2.238
9,2.234
10,2.221
11,2.210
12,2.195
13,2.180
14,2.169
15,2.158
16,2.132
17,2.116
18,2.096
19,2.073
20,2.061
21,2.044
22,2.029
23,2.018
24,2.014
25,2.003
26,1.992
27,1.987
28,1.967
29,1.958
30,1.935
31,1.928
32,1.928
33,1.906
34,1.901
35,1.897
36,1.886
37,1.869
38,1.854
39,1.854
40,1.839
41,1.835
42,1.836
43,1.818
44,1.829
45,1.830
46,1.820
47,1.830
48,1.817
49,1.821
50,1.811
51,1.794
52,1.780
53,1.783
54,1.755
55,1.757
56,1.739
57,1.732
58,1.728
59,1.734
60,1.734
61,1.726
62,1.713
63,1.716
64,1.713
65,1.707
66,1.704
67,1.697
68,1.691
69,1.695
70,1.682
71,1.683
72,1.671
73,1.670
74,1.660
75,1.653
76,1.663
77,1.652
78,1.652
79,1.646
80,1.640
81,1.639
82,1.635
83,1.630
84,1.633
85,1.631
86,1.634
87,1.627
88,1.620
89,1.610
90,1.600
91,1.601
92,1.594
93,1.592
94,1.590
95,1.589
96,1.587
97,1.586
98,1.588
99,1.594
100,1.585
101,1.578
102,1.570
103,1.570
104,1.562
105,1.568
106,1.558
107,1.562
108,1.562
109,1.558
110,1.560
111,1.550
112,1.548
113,1.545
114,1.543
115,1.540
116,1.541
117,1.536
118,1.533
119,1.530
120,1.534
121,1.524
122,1.524
123,1.519
124,1.519
125,1.521
126,1.519
127,1.518
128,1.514
129,1.519
130,1.518
131,1.514
132,1.512
133,1.510
134,1.507
135,1.502
136,1.500
137,1.501
138,1.495
139,1.489
140,1.485
141,1.482
142,1.481
143,1.482
144,1.484
145,1.481
146,1.479
147,1.481
148,1.474
149,1.468
150,1.471
151,1.461
152,1.466
153,1.459
154,1.463
155,1.464
156,1.459
157,1.460
158,1.459
159,1.456
160,1.454
161,1.452
162,1.447
163,1.446
164,1.450
165,1.446
166,1.448
167,1.449
168,1.453
169,1.451
170,1.450
171,1.443
172,1.440
173,1.437
174,1.431
175,1.433
176,1.430
177,1.427
178,1.424
179,1.422
180,1.422
181,1.418
182,1.423
183,1.422
184,1.428
185,1.432
186,1.426
187,1.424
188,1.423
189,1.420
190,1.416
191,1.414
192,1.409
193,1.408
194,1.410
195,1.408
196,1.404
197,1.406
198,1.403
199,1.399
200,1.401
201,1.396
202,1.396
203,1.400
204,1.403
205,1.403
206,1.395
207,1.395
208,1.396
209,1.394
210,1.394
211,1.390
212,1.387
213,1.384
214,1.382
215,1.386
216,1.385
217,1.387
218,1.385
219,1.385
220,1.381
221,1.376
222,1.378
223,1.376
224,1.372
225,1.370
226,1.372
227,1.368
228,1.368
229,1.373
230,1.374
231,1.371
232,1.373
233,1.374
234,1.372
235,1.365
236,1.368
237,1.368
238,1.369
239,1.364
240,1.359
241,1.360
242,1.359
243,1.361
244,1.366
245,1.365
246,1.365
247,1.367
248,1.364
249,1.359
250,1.358
251,1.356
252,1.354
253,1.356
254,1.362
255,1.360
256,1.356
257,1.351
258,1.352
259,1.356
260,1.356
261,1.359
262,1.360
263,1.357
264,1.352
265,1.352
266,1.353
267,1.353
268,1.355
269,1.356
270,1.357
271,1.356
272,1.354
273,1.354
274,1.346
275,1.347
276,1.346
277,1.344
278,1.348
279,1.351
280,1.355
281,1.349
282,1.349
283,1.348
284,1.348
285,1.355
286,1.352
287,1.352
288,1.354
289,1.357
290,1.349
291,1.351
292,1.350
293,1.344
294,1.347
295,1.349
296,1.353
297,1.356
298,1.358
299,1.358
